"uid","domainID","siteID","plotID","date","night","eventID","setTraps","disturbedTraps","samplingEffort","samplingProtocol","identificationReferences","remarks","duplicateNightQF","missingRecordsPerBoutQF"
"D286DBB0E19B474CABFA6D6B3B12D10C","D15","ONAQ","ONAQ_015","2014-07-23",2,"MAM.ONAQ.2014.08",26,1,25,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"83108260605A443B86C62AB6632DD31B","D15","ONAQ","ONAQ_004","2014-07-23",2,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"EDA46510877F435C83C805DFB0D62058","D15","ONAQ","ONAQ_014","2014-07-23",2,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"0E224BF6BA0543CF8931448640691D59","D15","ONAQ","ONAQ_014","2014-07-24",3,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"97308AA2A1F941008006B5C7783E6977","D15","ONAQ","ONAQ_004","2014-07-24",3,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"B3D1A03E85C04D25B8FD2925BE0331CE","D15","ONAQ","ONAQ_015","2014-07-24",3,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"779CD1C5ABE442658137445F6A7583E3","D15","ONAQ","ONAQ_021","2014-07-27",1,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","PEPA's not processed because no pit tag reader was available.",0,0
"DDD8F6BBB78746EB8018C55EBE1676B6","D15","ONAQ","ONAQ_003","2014-07-27",1,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","All PEPA's were released without processing. No tag reader was available, so it was not possible to determine if animals were recaptures or new captures.",0,0
"BDB46347AE864861A9C6D15B63919D53","D15","ONAQ","ONAQ_017","2014-07-27",1,"MAM.ONAQ.2014.08",98,0,98,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"CA0DC86C7B4A45C1A1337F40A925D9B4","D15","ONAQ","ONAQ_017","2014-07-28",2,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"06E360899B724A55854BB14B354706C8","D15","ONAQ","ONAQ_021","2014-07-28",2,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"A80089CD4AAA4BF3929F8F59CFBEA614","D15","ONAQ","ONAQ_003","2014-07-28",2,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"1CB265A28C6C41DC953F2147D8BDEEDB","D15","ONAQ","ONAQ_003","2014-07-29",3,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","Last nine traps were very minimally processed b/c of logistical time constraints.",0,0
"0E0FEBDECC4D4E6C9D7CB6139D1353C4","D15","ONAQ","ONAQ_021","2014-07-29",3,"MAM.ONAQ.2014.08",100,2,98,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"3DEC79FE3EDF4FCC8A127C5BA1B1A1E7","D15","ONAQ","ONAQ_017","2014-07-29",3,"MAM.ONAQ.2014.08",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"DE318FD86D974E3B8C6311D20544C95D","D15","ONAQ","ONAQ_021","2014-08-24",1,"MAM.ONAQ.2014.09",100,1,99,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"43A330B553C34BA4AEEC0513295B1A5F","D15","ONAQ","ONAQ_005","2014-08-24",1,"MAM.ONAQ.2014.09",100,7,93,"NEON.DOC.000481","NEON.DOC.001914","Several animals were released w/o processing due to logistical time constraints/high capture rates (after noon cut-off).",1,1
"E5E7DEF0B9BE42E98E62DB408B5E411C","D15","ONAQ","ONAQ_021","2014-08-25",2,"MAM.ONAQ.2014.09",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"D502778557864C6B84569FE993D9D915","D15","ONAQ","ONAQ_005","2014-08-26",2,"MAM.ONAQ.2014.09",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","Several animals were released w/o processing due to logistical time constraints/high capture rates.",0,1
"57389F9E1B414FA29C1961022F873D62","D15","ONAQ","ONAQ_021","2014-08-26",3,"MAM.ONAQ.2014.09",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,0
"499BBADC72264455AA7203276FE25BF4","D15","ONAQ","ONAQ_014","2014-09-20",1,"MAM.ONAQ.2014.10",99,0,99,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"2AFADEB559C8454487EBD7CFFA24606A","D15","ONAQ","ONAQ_015","2014-09-20",1,"MAM.ONAQ.2014.10",97,0,97,"NEON.DOC.000481","NEON.DOC.001914","Some captured animals not processed because of logistical time constraints due to high capture rates.  Species and trap location recorded, as well as recapture status when possible.",0,1
"6B650E2AA5134FDBA0D76C59E87A3106","D15","ONAQ","ONAQ_021","2014-09-20",1,"MAM.ONAQ.2014.10",99,2,97,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"974F9D04B7B942B69E1186D944DCD070","D15","ONAQ","ONAQ_021","2014-09-21",2,"MAM.ONAQ.2014.10",100,0,100,"NEON.DOC.000481","NEON.DOC.001914","No measurements for recaptured animals and no samples taken from any animals because of high capture rates.",0,1
"A926AB0BAADC4CA5851CD6570ABE9157","D15","ONAQ","ONAQ_015","2014-09-21",2,"MAM.ONAQ.2014.10",100,1,99,"NEON.DOC.000481","NEON.DOC.001914","Most captured animals on plot were released w/o processing, though species/trap station of all animals were recorded.  Recapture status also recorded, when possible.",0,1
"D73AE221027F4C2EA234F2254BAA76D9","D15","ONAQ","ONAQ_014","2014-09-21",2,"MAM.ONAQ.2014.10",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"67160C110EC9443DA960341B694D6DEE","D15","ONAQ","ONAQ_003","2014-10-02",1,"MAM.ONAQ.2014.10",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"233D464E6EF644ED89FD1D99604586BE","D15","ONAQ","ONAQ_017","2014-10-02",1,"MAM.ONAQ.2014.10",100,0,100,"NEON.DOC.000481","NEON.DOC.001914",,0,1
"38153682CCF54BC2B4138EDAAEC83153","D15","ONAQ","ONAQ_005","2014-10-03",1,"MAM.ONAQ.2014.10",99,0,99,"NEON.DOC.000481","NEON.DOC.001914",,0,1
